Puzzle,Solution,Execution Time,Zeros,Guesses,Backtracks
014602795930470218700001604408163970001507486260040051573014869640058020102390540,814632795936475218725981634458163972391527486267849351573214869649758123182396547,0.02771969998138957,26,28,2
490518007172640985856207100360859712907000306210300490041980063509062871620701009,493518627172643985856297134364859712987124356215376498741985263539462871628731549,0.02955819998169318,26,26,0
538260940600097503049853200862035419304912076107040325000184600206509134015020790,538261947621497583749853261862735419354912876197648325973184652286579134415326798,0.02739989999099635,26,26,0
327854019805096372019703080708410950004637108001589706092071800073268491086000207,327854619845196372619723584768412953954637128231589746492371865573268491186945237,0.02818470000056550,26,39,13
120840930438796520597002684359468170010973000070501009965280413201639008703054000,126845937438796521597312684359468172612973845874521369965287413241639758783154296,0.02636990000610240,26,28,2
678052439320049765904006281145627093786001520090504600402008150869400070517003048,678152439321849765954736281145627893786391524293584617432978156869415372517263948,0.02685190000920556,26,26,0
519760430406153920007480506003510069095200170721946085370801602960375040100024793,519762438486153927237489516843517269695238174721946385374891652962375841158624793,0.02702490001684055,26,26,0
901826734284700601006501009508934162642107900103268475417305290805010340360400000,951826734284793651736541829578934162642157983193268475417385296825619347369472518,0.02658060000976548,26,26,0
002071685809000407571408090658724039917080000234195806420857000085040720796213548,342971685869532417571468392658724139917386254234195876423857961185649723796213548,0.02715929999249056,26,36,10
010008700002401608687095014825610937194830562703000841958700100076150409041986375,419268753532471698687395214825614937194837562763529841958743126376152489241986375,0.02729100000578910,26,32,6
512768439040253108008004200024600951309821706760405803070089512193072680285100007,512768439947253168638914275824637951359821746761495823476389512193572684285146397,0.02872319999733008,26,37,11
054902710602047035037560204301659420925814070460000159049081567716090302083720900,854932716692147835137568294371659428925814673468273159249381567716495382583726941,0.02731789997778833,26,28,2
560473021080096304410285769196042000372518040045600210031820605604307198008001432,569473821287196354413285769196742583372518946845639217931824675624357198758961432,0.02778489998308942,26,26,0
700364259002159708590870000318640927954021380276083001120008000837206405469507802,781364259642159738593872164318645927954721386276983541125498673837216495469537812,0.02745860000140965,26,30,4
054301020306054000020009304680900231039800407412637509203198670865473192971520840,754381926396254718128769354687945231539812467412637589243198675865473192971526843,0.02769470002385788,26,30,4
910540600052907184467831059205014096701089420040275318170000962006703540020106837,918542673352967184467831259285314796731689425649275318173458962896723541524196837,0.02749179999227636,26,27,1
030627058000504601040001029060150847958473160401268395002046010316985270704310586,139627458827594631645831729263159847958473162471268395582746913316985274794312586,0.02766120000160299,26,48,22
403215807785609402201047009910360270630070940000094386850421093129780654000056128,493215867785639412261847539914368275638572941572194386856421793129783654347956128,0.02919189998647198,26,39,13
601500073204187569005600214010970400746015980958206730400700195560091328029053647,691524873234187569875639214312978456746315982958246731483762195567491328129853647,0.02698150000651367,26,28,2
800300925506019003937042180185490037092700651763201894379120068250673410610080000,841367925526819743937542186185496237492738651763251894379124568258673419614985372,0.02879110001958907,26,28,2
040361809395204600108975023539608140010753008786400502900836705603097284871500006,247361859395284671168975423539628147412753968786419532924836715653197284871542396,0.02751290000742301,26,26,0
860700352017030600543608107970382046302476019004059270420817005130294768708060401,869741352217935684543628197971382546352476819684159273426817935135294768798563421,0.02815330002340488,26,27,1
438720500516009027792605130169570200847012900000060704674253091900086372283107605,438721569516839427792645138169574283847312956325968714674253891951486372283197645,0.02834759998950176,26,29,3
309258074804937020725106309090025807247600035058793410086510703501360048930804050,319258674864937521725146389193425867247681935658793412486512793571369248932874156,0.02821429999312386,26,26,0
903050826406100750025063041604000132092315460037046098569731280278094015040580079,913457826486129753725863941654978132892315467137246598569731284278694315341582679,0.02878520000376739,26,41,15
850207019097051008231090740780910523040370006012568407023645870475089362068023050,854237619697451238231896745786914523549372186312568497923645871475189362168723954,0.02809959999285638,26,26,0
980041000004529806725306149457832691308190720219467003500210900091670002642950010,986741235134529876725386149457832691368195724219467583573214968891673452642958317,0.03163260000292212,26,89,63
143786920058149600076253401625490873807502194019830056764020000081070062300600708,143786925258149637976253481625491873837562194419837256764328519581974362392615748,0.02869460001238622,26,39,13
074030016009010405126754093008000132912308564460020089007283951205167348830095620,574839216389612475126754893758946132912378564463521789647283951295167348831495627,0.02941449999343604,26,54,28
000020864408167050603408007059200640246700109381649275802014706904872530517396020,175923864498167352623458917759281643246735189381649275832514796964872531517396428,0.03087529999902472,26,83,57
630091248289456701400328605396215480000009126028000350002180974841070563903564000,635791248289456731417328695396215487754839126128647359562183974841972563973564812,0.02851910001481883,26,38,12
010402870205918403860075109640053081157609034903024706031000698706031542408096307,319462875275918463864375129642753981157689234983124756531247698796831542428596317,0.02786410000408068,26,26,0
802017634570648901401903007320100870740089315108730249204305700605870400980402153,892517634573648921461923587329154876746289315158736249214395768635871492987462153,0.02805690001696348,26,28,2
710260945064905080093487162040870500970534826805690470009026708180700230327140609,718263945264915387593487162642871593971534826835692471459326718186759234327148659,0.02831980001064949,26,26,0
504320080293800750006475900035287019147003000928104360060502048482716593301048276,574329681293861754816475932635287419147693825928154367769532148482716593351948276,0.02865769999334589,26,32,6
641729583030060071705300062810234695050006007260057130073402806428000319596813704,641729583932568471785341962817234695359186247264957138173492856428675319596813724,0.02762639999855310,26,27,1
026157300091430052543892761680510207057040000034279005472960538918005470365080020,826157394791436852543892761689513247257648913134279685472961538918325476365784129,0.02834700001403689,26,28,2
000013020700400361093627584039175000541902637287364190300590472902700800074231956,465813729728459361193627584639175248541982637287364195316598472952746813874231956,0.02849140000762418,26,48,22
471300290005124780826009310539608000104970853087435900953041000642097138718260009,471386295395124786826759314539618472164972853287435961953841627642597138718263549,0.02850699998089112,26,31,5
007940210901320457602107098406891023290003060308560904759684130863219705120030009,537948216981326457642157398476891523295473861318562974759684132863219745124735689,0.02892360000987537,26,27,1
003246057412700380075031240069120478730985600128074030046518002201307860007402513,893246157412759386675831249569123478734985621128674935346518792251397864987462513,0.02802160001010634,26,26,0
069518243502070018148036790306480009900102364004693070620840937403000086801369452,769518243532974618148236795316487529987152364254693871625841937493725186871369452,0.02822400000877678,26,29,3
927018000861900020530762081010597400798134562450206179245000090370850210189400756,927318645861945327534762981612597438798134562453286179245671893376859214189423756,0.02841170001192950,26,35,9
062908307038740069974326801706294083009531476413080925897050634620070008045000002,562918347138745269974326851756294183289531476413687925897152634621473598345869712,0.03087370001594536,26,67,41
354207006619503470782604305573462080091030504408059723007825640825900100906301200,354217896619583472782694315573462981291738564468159723137825649825946137946371258,0.02833570001530461,26,26,0
062105700107408923908372160510080070830016592206900301793821054400639800681540209,362195748157468923948372165519283476834716592276954381793821654425639817681547239,0.02796979999402538,26,27,1
190064005800321679067850103684203007531470960002605038029180754710540390400930281,193764825845321679267859143684293517531478962972615438329186754718542396456937281,0.02823120000539348,26,35,9
142935078875000093369801004690710430450306281213040907984060052001289706720053009,142935678875624193369871524698712435457396281213548967984167352531289746726453819,0.02828199998475611,26,32,6
810264053007050020250783104004502978520470031971000542785300419463105087192047005,819264753347951826256783194634512978528479631971638542785326419463195287192847365,0.02813580000656657,26,33,7
042500091180200053053018740078045126261709534400001907314097065597060318026153070,742536891189274653653918742978345126261789534435621987314897265597462318826153479,0.02755619998788461,26,28,2
260901783315070204078423561031200075097316020026745139603507810009800307002130006,264951783315678294978423561431289675597316428826745139643597812159862347782134956,0.03597009999793954,27,27,0
937010024024375910106029037300060405080753092205900371000538109513602748090147250,937816524824375916156429837379261485481753692265984371742538169513692748698147253,0.02693749999161810,27,27,0
759001002048729015012865947230940708075018629986072401507093080803004000020687590,759431862648729315312865947231946758475318629986572431567293184893154276124687593,0.02836730002309196,27,29,2
010924708850070210700800963240387006070045301538196072300508147067039805485712600,613924758859673214724851963241387596976245381538196472392568147167439825485712639,0.02662710001459345,27,29,2
057010394004759021092000670078300562320540000510287043980074036763825409241900758,857612394634759821192438675478391562329546187516287943985174236763825419241963758,0.02656470000511035,27,38,11
930216854050397620610845090500460780790182430840509162070621548004058013085030000,937216854458397621612845397521463789796182435843579162379621548264758913185934276,0.02679060000809841,27,42,15
963240005082590300100760208345817009027459831810032540071306050206075480000924176,963248715782591364154763298345817629627459831819632547471386952296175483538924176,0.02612249998492189,27,30,3
619208403030074968748369502825090130401083000063410857087035641090800020100726089,619258473532174968748369512825697134471583296963412857287935641396841725154726389,0.02675530000124127,27,32,5
317298004050073280082054137723065491001000805095410000239080006170306952540729318,317298564654173289982654137723865491461932875895417623239581746178346952546729318,0.02879589999793097,27,55,28
076002000520396087804517620007180096200964703605073841403009108160700934789431062,976842315521396487834517629347185296218964753695273841453629178162758934789431562,0.02821089999633841,27,38,11
096081500351946082824035169005028930003197425902453610009312070210570000007009251,796281543351946782824735169145628937683197425972453618569312874218574396437869251,0.02738109999336302,27,27,0
912037400740058290500240700194706503865413027307080614230574869050001072670302005,912637458743158296586249731194726583865413927327985614231574869459861372678392145,0.02777240000432357,27,29,2
678140325001230007253867904086473250547928160902016700720381590069052000015090000,678149325491235687253867914186473259547928163932516748724381596869752431315694872,0.02813389999209903,27,37,10
408307215751482093063051400302514907546009800070830040900105386630798100814600059,498367215751482693263951478382514967546279831179836542927145386635798124814623759,0.02769119999720715,27,27,0
450930681009817245182060903500096830008473102720180496070000314306048020294050768,457932681639817245182564973541296837968473152723185496875629314316748529294351768,0.02821459999540821,27,28,1
200640957165007230009053600817032465954100002000470089070509803586304791392018546,238641957165897234749253618817932465954186372623475189471569823586324791392718546,0.02733660000376403,27,29,2
704200965126597380050468017645703108000010003201849750400952031510006840960184072,784231965126597384359468217645723198897615423231849756478952631512376849963184572,0.02792059999774210,27,29,2
062087090390650020058032060185403679000001285027508341519806400074319850006245917,462187593391654728758932164185423679943761285627598341519876432274319856836245917,0.02811169999768026,27,28,1
091080456860004231354000879700008300528367194600549782105006943900431508030895600,291783456867954231354612879749128365528367194613549782185276943976431528432895617,0.02811459999065846,27,30,3
810200097350701800090080215906420571081503620275069438720810906068902753009637080,814256397352791864697384215936428571481573629275169438723815946168942753549637182,0.02784110000357032,27,29,2
041027560305906000670008023780012946210079380594863102030684750060705204057031698,841327569325946817679158423783512946216479385594863172932684751168795234457231698,0.02896329999202862,27,27,0
500409821023060054081725306040000539305907682290583410602890175070250900159300248,567439821923168754481725396748612539315947682296583417632894175874251963159376248,0.02817679999861866,27,28,1
654100290720004051009057463100762038068439715397810624001976500982040000076320140,654183297723694851819257463145762938268439715397815624431976582982541376576328149,0.02800869999919087,27,27,0
081205473304060298079830601010029035593048007807510946938450002740306500165902080,681295473354167298279834651416729835593648127827513946938451762742386519165972384,0.02888279999024235,27,31,4
008400690010030872029080103051074320367219408802053000495768201170390580283145907,738421695514936872629587143951874326367219458842653719495768231176392584283145967,0.02857519997633062,27,47,20
134697500297008613600213090450070268060825039328000157072530001040182000816749320,134697582297458613685213794459371268761825439328964157972536841543182976816749325,0.02833459997782484,27,42,15
070834020405076083108592000682900037793280054514003000261307849047029005059418762,976834521425176983138592476682945137793281654514763298261357849847629315359418762,0.02769919999991544,27,31,4
984000213100032487732080569010020970806095040009318000650279834247853196098040025,984567213165932487732184569513426978826795341479318652651279834247853196398641725,0.02801479998743162,27,28,1
936051000214968735500420109451072096802000041360514270028607903790085004005239810,936751482214968735587423169451872396872396541369514278128647953793185624645239817,0.02774369998951443,27,29,2
278160459006895207300420861531080672900600385680530010003200740752048006849710503,278163459416895237395427861531984672924671385687532914163259748752348196849716523,0.02785539999604225,27,28,1
900702684704508301863014700009603427200149008546280039008396075692400813375820000,951732684724568391863914752189653427237149568546287139418396275692475813375821946,0.02790220000315458,27,28,1
000536092039001864010489000148027009700914286002053071461095320325100040987342615,874536192539271864216489753148627539753914286692853471461795328325168947987342615,0.03021629998693243,27,66,39
005300609807169540920475001051607984379048156680500327408003760790806013003704290,145382679837169542926475831251637984379248156684591327418923765792856413563714298,0.02813069999683648,27,30,3
572389164068170002091002705057806420000290500014053000723641850680527341145008206,572389164468175932391462785957816423836294517214753698723641859689527341145938276,0.02823660001740791,27,35,8
030200150985046070014035089392560418051324796076091300060018042500473861148050030,637289154985146273214735689392567418851324796476891325763918542529473861148652937,0.02776249998714775,27,27,0
523600891097020640104309570275060134900701250630450987700093410310006725402010369,523674891897125643164389572275968134948731256631452987756293418319846725482517369,0.02936169999884441,27,47,20
017026459002300867560794000783402591600580734005070086200038015109245608050917342,317826459492351867568794123783462591621589734945173286274638915139245678856917342,0.02718279999680817,27,28,1
205913060193846057408207931034189725009625043580730106040072000357401000021008504,275913468193846257468257931634189725719625843582734196846572319357491682921368574,0.02852739999070764,27,39,12
096701435538492700700035809003504100025067390000913052400078263307256940012309587,296781435538492716741635829963524178125867394874913652459178263387256941612349587,0.02792120000231080,27,39,12
567040089290760413003802756024516007810320604700080120300004071070231548451978062,567143289298765413143892756924516837815327694736489125382654971679231548451978362,0.02715540002100170,27,27,0
790005631001930048483621790029056007345000906076492510030289104960700350200563879,792845631651937248483621795129356487345178926876492513537289164968714352214563879,0.02763259998755530,27,33,6
309205471470910000100406008912704080006391027037608094683140759204537810701869040,369285471478913265125476938912754683846391527537628194683142759294537816751869342,0.02825639999355190,27,51,24
058130902396482100710695348504900036130060275087520419871006503065310004203000680,458137962396482157712695348524971836139864275687523419871246593965318724243759681,0.02754989999812096,27,39,12
080607510540192038206385794094816205621504080050903461070401000460050120035260847,983647512547192638216385794394816275621574389758923461872431956469758123135269847,0.03127800000947900,27,94,67
800721534002549081104036207349210000000078903587963142268307005913050728400002360,896721534732549681154836297349215876621478953587963142268397415913654728475182369,0.02748150000115857,27,27,0
967382401820016030031500826604250973059708264372040508013074600200105307006020195,967382451825416739431597826684251973159738264372649518513974682298165347746823195,0.02819569999701343,27,27,0
562047009384619527190000400743000182658701943019083065800175200971004008425030071,562347819384619527197852436743596182658721943219483765836175294971264358425938671,0.02900540002156049,27,44,17
007013509040009107003578462005162394239047600461935700380701006910250073752006941,627413589548629137193578462875162394239847615461935728384791256916254873752386941,0.02811859999201261,27,27,0
100852690050674102602913005024100387867235010300748506409000703030489051010367948,173852694958674132642913875524196387867235419391748526489521763736489251215367948,0.02836339999339543,27,38,11
500064973403009805907038642849300256320006780176280304250870000638051027790642500,582164973463729815917538642849317256325496781176285394254873169638951427791642538,0.02729050000198185,27,36,9
